domain	mediabias_leftcenterbias_x	mediabias_leftbias_x	mediabias_rightcenterbias_x	mediabias_rightbias_x	mediabias_leftcenterbias_y	mediabias_leftbias_y	mediabias_rightcenterbias_y	mediabias_rightbias_y
pressherald.com					1.0	0.0	0.0	0.0
grid.news					1.0	0.0	0.0	0.0
change.org	0.0	1.0	0.0	0.0				
tampabay.com					1.0	0.0	0.0	0.0
usnews.com					1.0	0.0	0.0	0.0
deepsouthvoice.com	0.0	1.0	0.0	0.0				
redpepper.org.uk	0.0	1.0	0.0	0.0				
littlegreenfootballs.com	0.0	1.0	0.0	0.0				
digg.com					1.0	0.0	0.0	0.0
ffrf.org	0.0	1.0	0.0	0.0				
sootoday.com					1.0	0.0	0.0	0.0
newscorpse.com	0.0	1.0	0.0	0.0				
staradvertiser.com					1.0	0.0	0.0	0.0
truthout.org	0.0	1.0	0.0	0.0				
guelphmercury.com					1.0	0.0	0.0	0.0
emptywheel.net					1.0	0.0	0.0	0.0
saudigazette.com.sa					1.0	0.0	0.0	0.0
advocate.com	0.0	1.0	0.0	0.0				
dailycommercial.com					1.0	0.0	0.0	0.0
mediapart.fr					1.0	0.0	0.0	0.0
ridgecrestca.com					1.0	0.0	0.0	0.0
sfexaminer.com					1.0	0.0	0.0	0.0
nydailynews.com					1.0	0.0	0.0	0.0
denverpost.com					1.0	0.0	0.0	0.0
ladepeche.fr					1.0	0.0	0.0	0.0
youthrights.org					1.0	0.0	0.0	0.0
miaminewtimes.com	0.0	1.0	0.0	0.0				
crosscut.com					1.0	0.0	0.0	0.0
currentaffairs.org	0.0	1.0	0.0	0.0				
publicintegrity.org					1.0	0.0	0.0	0.0
shondaland.com	0.0	1.0	0.0	0.0				
carnegieendowment.org					1.0	0.0	0.0	0.0
dissentmagazine.org	0.0	1.0	0.0	0.0				
bing.com					1.0	0.0	0.0	0.0
newstatesman.com	0.0	1.0	0.0	0.0				
positive.news					1.0	0.0	0.0	0.0
prospectmagazine.co.uk					1.0	0.0	0.0	0.0
aspeniaonline.it					1.0	0.0	0.0	0.0
seattlepi.com					1.0	0.0	0.0	0.0
alternet.org	0.0	1.0	0.0	0.0				
charlotteobserver.com					1.0	0.0	0.0	0.0
tuscaloosanews.com					1.0	0.0	0.0	0.0
feministing.com	0.0	1.0	0.0	0.0				
goodmenproject.com	0.0	1.0	0.0	0.0				
newint.org	0.0	1.0	0.0	0.0				
inquirer.com					1.0	0.0	0.0	0.0
ifamericaknew.org					1.0	0.0	0.0	0.0
derstandard.at					1.0	0.0	0.0	0.0
dcreport.org					1.0	0.0	0.0	0.0
